"Codigo_Localizacao"|"Estado"|"Regiao"|"Sigla"
"12"|"ACRE"|"NORTE"|"AC"
"27"|"ALAGOAS"|"NORDESTE"|"AL"
"16"|"AMAPA"|"NORTE"|"AP"
"13"|"AMAZONAS"|"NORTE"|"AM"
"29"|"BAHIA"|"NORDESTE"|"BA"
"23"|"CEARA"|"NORDESTE"|"CE"
"53"|"DISTRITO FEDERAL"|"CENTRO-OESTE"|"DF"
"32"|"ESPIRITO SANTO"|"SUDESTE"|"ES"
"52"|"GOIAS"|"CENTRO-OESTE"|"GO"
"21"|"MARANHAO"|"NORDESTE"|"MA"
"51"|"MATO GROSSO"|"CENTRO-OESTE"|"MT"
"50"|"MATO GROSSO DO SUL"|"CENTRO-OESTE"|"MS"
"31"|"MINAS GERAIS"|"SUDESTE"|"MG"
"15"|"PARA"|"NORTE"|"PA"
"25"|"PARAIBA"|"NORDESTE"|"PB"
"41"|"PARANA"|"SUL"|"PR"
"26"|"PERNAMBUCO"|"NORDESTE"|"PE"
"22"|"PIAUI"|"NORDESTE"|"PI"
"33"|"RIO DE JANEIRO"|"SUDESTE"|"RJ"
"24"|"RIO GRANDE DO NORTE"|"NORDESTE"|"RN"
"43"|"RIO GRANDE DO SUL"|"SUL"|"RS"
"11"|"RONDONIA"|"NORTE"|"RO"
"14"|"RORAIMA"|"NORTE"|"RR"
"42"|"SANTA CATARINA"|"SUL"|"SC"
"35"|"SAO PAULO"|"SUDESTE"|"SP"
"28"|"SERGIPE"|"NORDESTE"|"SE"
"17"|"TOCANTINS"|"NORTE"|"TO"
